date_utc,sku,foep_price_gbp,foep_status,foep_last_refresh_utc,bbp_max_sold_gbp,cpt_gbp,cpt_ceiling_input_gbp,cpt_x1_2_gbp,cpt_last_refresh_utc,cpt_status,cpt_risk_band,cpt_delta_vs_buy_box_gbp,cpt_delta_vs_buy_box_pct,cpt_call_tier,cpt_call_reason_codes_json,ceiling_rule_value_gbp,ceiling_source_used,ceiling_inputs_missing_flag,parked_flag,park_reason_codes_json,eligibility_ceiling_landed_gbp,eligibility_source,eligibility_confidence,eligibility_reason_codes_json,competitive_price_threshold_gbp,competitive_price_gbp,average_selling_price_gbp,suppression_reactivation_target_landed_gbp,suppression_target_source,suppression_ceiling_landed_temp,suppression_ceiling_source,suppression_ceiling_confidence,suppression_ceiling_expiry_utc,anchor_floor_price_gbp,compliance_ceiling_landed_gbp,compliance_confidence,compliance_status,compliance_reason_code
2026-03-01,6V-EEC1-2S9Z,,MISSING,2026-03-01T13:39:50Z,10.64,,,,2026-03-01T11:17:27Z,NO_CPT,UNKNOWN,,,ACTIVE_READONLY,"[""CPT_SKIP_NO_CPT_WEEKLY_NOT_DUE"",""CPT_REUSE_LAST"",""CPT_CEILING_INPUT_MISSING"",""CPT_RISK_UNKNOWN_MISSING_CPT""]",10.64,BBP_ONLY,0,0,[],10.64,MANUAL,0.5,"[""FOEP_ERROR"",""FOEP_MISSING"",""ELIG_CEILING_MANUAL_USED""]",,,,,,,,,,,10.64,0.7,OK,
2026-03-01,0G-JB6S-PN34,,MISSING,2026-03-01T13:39:50Z,,2.07,2.07,2.48,2026-03-01T13:19:22Z,OK,UNKNOWN,,,ACTIVE_READONLY,"[""CPT_SKIP_FRESH"",""CPT_REUSE_LAST"",""CPT_CEILING_INPUT_FRESH"",""CPT_RISK_UNKNOWN_MISSING_BUY_BOX""]",2.48,CPTX1_2_ONLY,0,0,[],,LAST_KNOWN_SAFE,0,"[""FOEP_ERROR"",""FOEP_MISSING"",""CPT_TELEMETRY_ONLY"",""ELIGIBILITY_UNAVAILABLE"",""MANUAL_CAP_MISSING""]",,,,,,,,,,,5.90,0.7,OK,
2026-03-01,0R-GRRH-W0Z9,,MISSING,2026-03-01T13:39:50Z,9.99,,,,2026-03-01T13:19:53Z,NO_CPT,UNKNOWN,,,ACTIVE_WRITE,"[""CPT_SKIP_NO_CPT_WEEKLY_NOT_DUE"",""CPT_REUSE_LAST"",""CPT_CEILING_INPUT_MISSING"",""CPT_RISK_UNKNOWN_MISSING_CPT""]",9.99,BBP_ONLY,0,0,[],9.99,MANUAL,0.5,"[""FOEP_ERROR"",""FOEP_MISSING"",""ELIG_CEILING_MANUAL_USED""]",,,,,,,,,,,9.99,0.7,OK,
2026-03-01,2G-AYBQ-TUQG,,MISSING,2026-03-01T13:39:50Z,,21.99,21.99,26.39,2026-03-01T13:20:24Z,OK,UNKNOWN,,,ACTIVE_READONLY,"[""CPT_SKIP_FRESH"",""CPT_REUSE_LAST"",""CPT_CEILING_INPUT_FRESH"",""CPT_RISK_UNKNOWN_MISSING_BUY_BOX""]",26.39,CPTX1_2_ONLY,0,0,[],,LAST_KNOWN_SAFE,0,"[""FOEP_ERROR"",""FOEP_MISSING"",""CPT_TELEMETRY_ONLY"",""ELIGIBILITY_UNAVAILABLE"",""MANUAL_CAP_MISSING""]",,,,,,,,,,,17.80,0.7,OK,
2026-03-01,3X-EXDD-TD2K,,MISSING,2026-03-01T13:39:50Z,,64.49,64.49,77.39,2026-03-01T13:20:55Z,OK,UNKNOWN,,,ACTIVE_READONLY,"[""CPT_SKIP_FRESH"",""CPT_REUSE_LAST"",""CPT_CEILING_INPUT_FRESH"",""CPT_RISK_UNKNOWN_MISSING_BUY_BOX""]",77.39,CPTX1_2_ONLY,0,0,[],,LAST_KNOWN_SAFE,0,"[""FOEP_ERROR"",""FOEP_MISSING"",""CPT_TELEMETRY_ONLY"",""ELIGIBILITY_UNAVAILABLE"",""MANUAL_CAP_MISSING""]",,,,,,,,,,,47.39,0.7,OK,
2026-03-01,4W-VS57-BV6A,,MISSING,2026-03-01T13:39:50Z,44.99,37.99,37.99,45.59,2026-03-01T13:21:26Z,OK,UNKNOWN,,,ACTIVE_READONLY,"[""CPT_SKIP_FRESH"",""CPT_REUSE_LAST"",""CPT_CEILING_INPUT_FRESH"",""CPT_RISK_UNKNOWN_MISSING_BUY_BOX""]",44.99,MIN_BBP_CPTX1_2,0,0,[],44.99,MANUAL,0.5,"[""FOEP_ERROR"",""FOEP_MISSING"",""CPT_TELEMETRY_ONLY"",""ELIG_CEILING_MANUAL_USED""]",,,,,,,,,,,44.99,0.7,OK,
2026-03-01,5Z-6Z0P-9TQQ,,MISSING,2026-03-01T13:39:50Z,,3.59,3.59,4.31,2026-03-01T13:21:57Z,OK,UNKNOWN,,,ACTIVE_READONLY,"[""CPT_SKIP_FRESH"",""CPT_REUSE_LAST"",""CPT_CEILING_INPUT_FRESH"",""CPT_RISK_UNKNOWN_MISSING_BUY_BOX""]",4.31,CPTX1_2_ONLY,0,0,[],,LAST_KNOWN_SAFE,0,"[""FOEP_ERROR"",""FOEP_MISSING"",""CPT_TELEMETRY_ONLY"",""ELIGIBILITY_UNAVAILABLE"",""MANUAL_CAP_MISSING""]",,,,,,,,,,,3.64,0.7,OK,
2026-03-01,6Q-9G2A-IKVV,,MISSING,2026-03-01T13:39:50Z,,11.00,11.00,13.20,2026-03-01T13:22:28Z,OK,UNKNOWN,,,ACTIVE_READONLY,"[""CPT_SKIP_FRESH"",""CPT_REUSE_LAST"",""CPT_CEILING_INPUT_FRESH"",""CPT_RISK_UNKNOWN_MISSING_BUY_BOX""]",13.20,CPTX1_2_ONLY,0,0,[],,LAST_KNOWN_SAFE,0,"[""FOEP_ERROR"",""FOEP_MISSING"",""CPT_TELEMETRY_ONLY"",""ELIGIBILITY_UNAVAILABLE"",""MANUAL_CAP_MISSING""]",,,,,,,,,,,16.00,0.7,OK,
2026-03-01,714810,,MISSING,2026-03-01T13:39:50Z,9.99,,,,2026-03-01T13:22:59Z,NO_CPT,UNKNOWN,,,ACTIVE_READONLY,"[""CPT_SKIP_NO_CPT_WEEKLY_NOT_DUE"",""CPT_REUSE_LAST"",""CPT_CEILING_INPUT_MISSING"",""CPT_RISK_UNKNOWN_MISSING_CPT""]",9.99,BBP_ONLY,0,0,[],9.99,MANUAL,0.5,"[""FOEP_ERROR"",""FOEP_MISSING"",""ELIG_CEILING_MANUAL_USED""]",,,,,,,,,,,9.99,0.7,OK,
2026-03-01,8M-NHB7-T8TR,,MISSING,2026-03-01T13:39:50Z,,32.99,32.99,39.59,2026-03-01T13:23:30Z,OK,LOW,-3.76,-11.40,ACTIVE_READONLY,"[""CPT_SKIP_FRESH"",""CPT_REUSE_LAST"",""CPT_CEILING_INPUT_FRESH"",""CPT_RISK_LOW""]",39.59,CPTX1_2_ONLY,0,0,[],,LAST_KNOWN_SAFE,0,"[""FOEP_ERROR"",""FOEP_MISSING"",""CPT_TELEMETRY_ONLY"",""ELIGIBILITY_UNAVAILABLE"",""MANUAL_CAP_MISSING""]",,,,,,,,,,,29.23,0.7,OK,
