event_ts_utc,date_utc,sku,status
2026-02-17T11:43:37Z,2026-02-17,4W-VS57-BV6A,ok
2026-02-17T11:43:37Z,2026-02-17,6V-EEC1-2S9Z,ok
2026-02-17T11:43:37Z,2026-02-17,AX-NKNU-29C1,ok
2026-02-17T11:43:37Z,2026-02-17,JB-RGB6-LZOJ,ok
2026-02-17T11:43:37Z,2026-02-17,L1-54EX-56YC,ok
2026-02-17T11:43:37Z,2026-02-17,RZ-6ZL9-CZ7J,ok
2026-02-17T11:43:37Z,2026-02-17,TJ-6LOP-OPEU,ok
2026-02-17T11:43:37Z,2026-02-17,VF-3T0K-DR5O,ok
2026-02-17T11:43:37Z,2026-02-17,XE-YPAI-HX9F,ok
2026-02-17T11:43:37Z,2026-02-17,XH-0LAE-FQO5,ok
2026-02-17T11:43:37Z,2026-02-17,XY-UM2X-TPS3,ok
2026-02-17T11:43:37Z,2026-02-17,YC-3L3M-BV48,ok
2026-02-17T17:06:36Z,2026-02-17,0G-JB6S-PN34,ok
2026-02-17T17:06:36Z,2026-02-17,0R-GRRH-W0Z9,ok
2026-02-17T17:06:36Z,2026-02-17,2G-AYBQ-TUQG,ok
2026-02-17T17:06:36Z,2026-02-17,3X-EXDD-TD2K,ok
2026-02-17T17:06:36Z,2026-02-17,6Q-9G2A-IKVV,ok
2026-02-17T17:06:36Z,2026-02-17,714810,ok
2026-02-17T17:06:36Z,2026-02-17,7M-48OU-23X3,ok
2026-02-17T17:06:36Z,2026-02-17,8M-LM6B-F2Q5,ok
2026-02-17T17:06:36Z,2026-02-17,8M-NHB7-T8TR,ok
2026-02-17T17:06:36Z,2026-02-17,8U-QPFH-3EKQ,ok
2026-02-17T17:06:36Z,2026-02-17,9X-HL62-83C7,ok
2026-02-17T17:06:36Z,2026-02-17,A2-T2AC-TW3L,ok
2026-02-17T17:06:36Z,2026-02-17,AF-KIHX-ANYY,ok
2026-02-17T17:06:36Z,2026-02-17,BL-WX51-KQOK,ok
2026-02-17T17:06:36Z,2026-02-17,CJ-X0SS-QOUW,ok
2026-02-17T17:06:36Z,2026-02-17,CX-SMCH-4DYA,ok
2026-02-17T17:06:36Z,2026-02-17,D0-C7C0-H6LN,ok
2026-02-17T17:06:36Z,2026-02-17,D8-1A3E-I37F,ok
2026-02-17T17:06:36Z,2026-02-17,DC-K5WH-R7F5,ok
2026-02-17T17:06:36Z,2026-02-17,EV-CHU5-XU3G,ok
2026-02-17T17:06:36Z,2026-02-17,FB-6FW0-Z82Q,ok
2026-02-17T17:06:36Z,2026-02-17,GA-9DTN-9O1E,ok
2026-02-17T17:06:36Z,2026-02-17,H6-E7MP-EBPD,ok
2026-02-17T17:06:36Z,2026-02-17,HL-03ZR-QPHH,ok
2026-02-17T17:06:36Z,2026-02-17,HS-R5IP-7E1C,ok
2026-02-17T17:06:36Z,2026-02-17,IJ-V0PQ-4CZ4,ok
2026-02-17T17:06:36Z,2026-02-17,L5-PF3B-WHU4,ok
2026-02-17T17:06:36Z,2026-02-17,LP-QMNJ-J49G,ok
2026-02-17T17:06:36Z,2026-02-17,LR-7GM6-1RCH,ok
2026-02-17T17:06:36Z,2026-02-17,OV-LVEL-DQL6,ok
2026-02-17T17:06:36Z,2026-02-17,R4-0AXZ-ZZ9D,ok
2026-02-17T17:06:36Z,2026-02-17,R7-98IN-2PW8,ok
2026-02-17T17:06:36Z,2026-02-17,RI-VSUS-0YTD,ok
2026-02-17T17:06:36Z,2026-02-17,RW-AZK6-O4M2,ok
2026-02-17T17:06:36Z,2026-02-17,TK-E7QE-T40G,ok
2026-02-17T17:06:36Z,2026-02-17,UR-Q7TM-1F3I,ok
2026-02-17T17:06:36Z,2026-02-17,US-AK96-YFSB,ok
2026-02-17T17:06:36Z,2026-02-17,VO-A6AR-18YS,ok
2026-02-17T17:06:36Z,2026-02-17,VU-8KRA-QP5M,ok
2026-02-17T17:06:36Z,2026-02-17,W3-8FN7-FSP0,ok
2026-02-17T17:06:36Z,2026-02-17,WE-1Z7L-SA2I,ok
2026-02-17T17:06:36Z,2026-02-17,X7-MY4W-H2I4,ok
2026-02-17T17:06:36Z,2026-02-17,XE-27ZG-EZPZ,ok
2026-02-17T17:06:36Z,2026-02-17,YO-EKK2-FRCC,ok
2026-02-17T17:06:36Z,2026-02-17,Z7-26PV-O9LR,ok
2026-02-17T17:06:36Z,2026-02-17,ZT-QPY3-P24I,ok
