event_ts_utc,sku,our_delivery_penalty_gbp,compliance_ceiling_landed_gbp,eligibility_ceiling_landed_gbp,demand_ceiling_landed_gbp,final_ceiling_landed_gbp,binding_ceiling_type,ceiling_reason_codes_json
,JB-RGB6-LZOJ,,19.39,19.99,19.99,19.39,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
,JB-RGB6-LZOJ,0.00,19.39,19.99,19.99,19.39,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
,JB-RGB6-LZOJ,,19.39,19.99,19.99,19.39,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
,JB-RGB6-LZOJ,,19.39,19.99,19.99,19.39,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
,JB-RGB6-LZOJ,,19.39,19.99,19.99,19.39,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
,JB-RGB6-LZOJ,,19.39,19.99,19.99,19.39,COMPLIANCE,"[""BINDING_CEILING_COMPLIANCE""]"
,JB-RGB6-LZOJ,,,19.99,19.99,19.99,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
,JB-RGB6-LZOJ,,,19.99,19.99,19.99,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
,JB-RGB6-LZOJ,,,19.99,19.99,19.99,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
,JB-RGB6-LZOJ,,,19.99,19.99,19.99,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
,JB-RGB6-LZOJ,,,19.99,19.99,19.99,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
,JB-RGB6-LZOJ,,,19.99,9.99,9.99,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
,JB-RGB6-LZOJ,,,9.99,9.99,9.99,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
,JB-RGB6-LZOJ,,,9.99,9.99,9.99,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
,JB-RGB6-LZOJ,,,9.99,9.99,9.99,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
,JB-RGB6-LZOJ,,,9.99,9.99,9.99,MANUAL_CAP,"[""BINDING_CEILING_MANUAL_CAP""]"
