timestamp_utc,asof_date,marketplace,sku,asin,inbound_working,inbound_shipped,inbound_receiving,inbound_total,source,notes
2026-02-07T00:00:00Z,2026-02-07,UK,02-7AZG-O0CV,B01N31JDVX,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,03-7TNF-U2A1,B08C34199M,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,04-FYSA-YCV0,B001JYLJB0,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,04-PU0K-EVHU,B009NST7AY,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,05-CH74-4EW3,B006R5Z7DC,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,06-6WC0-UGFH,B004YJLV6K,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,08-3ABG-PL11,B01N58L3PP,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,09-CZ59-Q6OR,B09BR88BPW,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,0A-HHXO-QF32,B0993N4XMC,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,0B-IC3D-6S96,B00ICS6JWK,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,0B-KZD0-FZB1,B07Y5KYLQ8,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,0B-OUCV-UQE9,B01N4LH1PN,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,0C-AOG2-B23Z,B003TYWR5K,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,0D-0039-WEPJ,B09V8GFY8C,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,0F-MLCO-206G,B00RO5R4JE,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,0G-0234-E9NG,B08J1X9VVF,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,0G-JB6S-PN34,B07H2WXMDJ,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,0H-5V53-GPG4,B0CRRPCT5P,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,0K-6BX5-D5AH,B093WHTJL7,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,0N-JV0B-5UNV,B009L12MLO,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,0N-VZG5-JH06,B0CJMMYYCJ,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,0N-X5KF-213D,B09M3RB8R1,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,0O-KL3Z-ZTQ9,B00GI299M4,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,0Q-F5R3-333E,1848450486,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,0R-31MX-8MNY,B07B4NQSYS,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,0R-GRRH-W0Z9,B09NQD4S5N,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,0T-2B9X-7G65,B0B8T9L8RY,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,0T-LQK2-KFCY,B0CBNNKLYJ,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,0W-VJRK-9VCG,B00M9UFVGM,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,0X-VJWI-4OT8,B0BWFT5RGN,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,0Z-Y60V-499R,B09NQBQW49,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,10-JQEP-V8I7,B00CRGM45O,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,10-KNVB-4BRI,B002GZJUQ2,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,10-PGVO-YV15,B01H8QOUTA,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,12-3VTE-5T3Z,9189143078,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,12-749B-9EB5,B084HZRR8G,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,16-5NE0-75DT,B097F7QHFF,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,18-WD7G-J8U4,B0B32365PH,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,1A-S381-J09C,B002ZTVMDI,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,1B-X7OV-DC22,B00SH4QZIM,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,1C-WYGV-IW8O,B00YPA854Y,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,1D-E3I8-TUK8,B00O3XUG5E,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,1I-68NK-QBN0,B095ZY4PCG,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,1L-X5VM-8E2W,B09S5RXYKR,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,1P-BRGG-P0N6,B07QGGFKYK,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,1Q-OTO8-JG8E,B01G263L1K,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,1S-ZFUI-RE1A,B0032NGZII,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,1U-1W76-M840,B07V9CRX7Y,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,1U-YF3T-TR74,B082BVCQMQ,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,1V-9D9W-WOZP,B000FPU2SK,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,2G-AYBQ-TUQG,B002KFZKZ8,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,3X-EXDD-TD2K,B0D6W9DZX4,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,4W-VS57-BV6A,B0C9LJNJWZ,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,5Z-6Z0P-9TQQ,B08MW8XMNQ,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,6Q-9G2A-IKVV,B000PSB13C,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,6V-EEC1-2S9Z,B06WW79DX5,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,714810,B002BX8ZFG,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,7M-48OU-23X3,B004GFPFBO,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,8M-LM6B-F2Q5,B00D1V5FPU,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,8M-NHB7-T8TR,B0B2RBG672,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,8U-QPFH-3EKQ,B07T9WVBZ2,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,9X-HL62-83C7,B00BEUFYE2,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,A1-KSU1-GZMS,B07BC1CMDK,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,A2-T2AC-TW3L,B006PFN3BW,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,AF-KIHX-ANYY,B0001P15T4,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,AX-NKNU-29C1,B08M52B4M5,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,BL-WX51-KQOK,B0897VHKW6,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,C6-XGZB-J6QA,B0083HIM7U,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,CJ-X0SS-QOUW,B0CG234KW1,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,CX-SMCH-4DYA,B0012B80HG,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,D0-C7C0-H6LN,B07F1MFWV1,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,D2-8SPY-Q095,B0052VXJGO,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,D8-1A3E-I37F,B001ET78RY,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,DC-K5WH-R7F5,B0073FT7FY,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,EV-CHU5-XU3G,B07QQDMJ6M,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,FB-6FW0-Z82Q,B005F5TRBI,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,GA-9DTN-9O1E,B086763VT8,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,GJ-2OZK-0GCA,B0CS3VF4GK,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,GK-YI4S-C158,B0009JJZ8A,0,0,0,0,SPAPI,
2026-02-07T00:00:00Z,2026-02-07,UK,GY-FO04-RDYL,B09M3PQRBG,0,0,0,0,SPAPI,
