date,fee_ex_vat,fee_vat,fee_total
2025-11-01,-257.65,0.0,-257.65
2025-11-02,-385.04,0.0,-385.04
2025-11-03,-428.94,0.0,-428.94
2025-11-04,-428.31,0.0,-428.31
2025-11-05,-267.15,0.0,-267.15
2025-11-06,-253.94,0.0,-253.94
2025-11-07,-255.32,0.0,-255.32
2025-11-08,-285.7,0.0,-285.7
2025-11-09,-251.19,0.0,-251.19
2025-11-10,-324.35,0.0,-324.35
2025-11-11,-243.49,0.0,-243.49
2025-11-12,-202.31,0.0,-202.31
2025-11-13,-112.9,0.0,-112.9
2025-11-14,-129.1,0.0,-129.1
2025-11-15,-193.07,0.0,-193.07
2025-11-16,-175.31,0.0,-175.31
2025-11-17,-162.08,0.0,-162.08
2025-11-18,-189.74,0.0,-189.74
2025-11-19,-240.23,0.0,-240.23
2025-11-20,-288.97,0.0,-288.97
2025-11-21,-187.02,0.0,-187.02
2025-11-22,-238.22,0.0,-238.22
2025-11-23,-202.41,0.0,-202.41
2025-11-24,-199.43,0.0,-199.43
2025-11-25,-142.55,0.0,-142.55
2025-11-26,-337.96,0.0,-337.96
2025-11-27,-218.92000000000002,0.0,-218.92000000000002
2025-11-28,-293.77,0.0,-293.77
2025-11-29,-377.78,0.0,-377.78
2025-11-30,-233.49,0.0,-233.49
2025-12-01,-554.35,0.0,-554.35
2025-12-02,-360.69,0.0,-360.69
2025-12-03,-629.21,0.0,-629.21
2025-12-04,-461.38,0.0,-461.38
2025-12-05,-413.38,0.0,-413.38
2025-12-06,-890.25,0.0,-890.25
2025-12-07,-502.32,0.0,-502.32
2025-12-08,-516.62,0.0,-516.62
2025-12-09,-410.16,0.0,-410.16
2025-12-10,-466.42,0.0,-466.42
2025-12-11,-501.07,0.0,-501.07
2025-12-12,-445.36,0.0,-445.36
2025-12-13,-454.62,0.0,-454.62
2025-12-14,-400.83,0.0,-400.83
2025-12-15,-423.69,0.0,-423.69
2025-12-16,-436.05,0.0,-436.05
2025-12-17,-469.17,0.0,-469.17
2025-12-18,-317.84,0.0,-317.84
2025-12-19,-323.03,0.0,-323.03
2025-12-20,-342.7,0.0,-342.7
2025-12-21,-277.04,0.0,-277.04
2025-12-22,-274.02,0.0,-274.02
2025-12-23,-290.26,0.0,-290.26
2025-12-24,-399.98,0.0,-399.98
2025-12-25,-293.19,0.0,-293.19
2025-12-26,-272.58,0.0,-272.58
2025-12-27,-134.77,0.0,-134.77
2025-12-28,-240.16,0.0,-240.16
2025-12-29,-322.11,0.0,-322.11
2025-12-30,-260.07,0.0,-260.07
2025-12-31,-193.83,0.0,-193.83
2026-01-01,-58.449999999999996,0.0,-58.449999999999996
2026-01-02,-19.259999999999998,0.0,-19.259999999999998
2026-01-03,-363.76,0.0,-363.76
2026-01-04,-454.54,0.0,-454.54
2026-01-05,-356.0,0.0,-356.0
2026-01-06,-349.79,0.0,-349.79
2026-01-07,-325.01,0.0,-325.01
2026-01-08,-14.6,0.0,-14.6
2026-01-09,-125.5,0.0,-125.5
2026-01-10,-311.08,0.0,-311.08
2026-01-11,-419.62,0.0,-419.62
2026-01-12,-319.43,0.0,-319.43
2026-01-13,-266.63,0.0,-266.63
2026-01-14,-273.56,0.0,-273.56
2026-01-15,-274.27,0.0,-274.27
2026-01-16,-175.3,0.0,-175.3
