return_event_id,return_date,seller_sku,token_id,token_cost,currency,source,event_type
20016211017387-retry2,2026-01-21T00:00:00+0000,R7-98IN-2PW8,R7-98IN-2PW8-090925-row857-0024,"3036    2.50
Name: cost_per_unit, dtype: object","3036    GBP
Name: currency, dtype: object",stock_events_raw,Adjustments
20016299243679-retry2,2026-01-26T00:00:00+0000,6V-EEC1-2S9Z,6V-EEC1-2S9Z-101125-row938-1425,"2684    2.25
Name: cost_per_unit, dtype: object","2684    GBP
Name: currency, dtype: object",stock_events_raw,Adjustments
FBA15LCBT9DP-retry2,2026-01-26T00:00:00+0000,A2-T2AC-TW3L,A2-T2AC-TW3L-101125-row939-0389,"3607    4.51
Name: cost_per_unit, dtype: object","3607    GBP
Name: currency, dtype: object",stock_events_raw,Receipts
FBA15LCBT9DP-retry2,2026-01-26T00:00:00+0000,A2-T2AC-TW3L,A2-T2AC-TW3L-101125-row939-0158,"3376    4.51
Name: cost_per_unit, dtype: object","3376    GBP
Name: currency, dtype: object",stock_events_raw,Receipts
FBA15LCBT9DP-retry2,2026-01-26T00:00:00+0000,A2-T2AC-TW3L,A2-T2AC-TW3L-101125-row939-0066,"3284    4.51
Name: cost_per_unit, dtype: object","3284    GBP
Name: currency, dtype: object",stock_events_raw,Receipts
FBA15LCBT9DP-retry2,2026-01-26T00:00:00+0000,A2-T2AC-TW3L,A2-T2AC-TW3L-101125-row939-0271,"3489    4.51
Name: cost_per_unit, dtype: object","3489    GBP
Name: currency, dtype: object",stock_events_raw,Receipts
FBA15LCY2JPY-retry8,2026-01-27T00:00:00+0000,NN-TSZ1-X2RD,NN-TSZ1-X2RD-101125-row935-0042,"6199    3.79
Name: cost_per_unit, dtype: object","6199    GBP
Name: currency, dtype: object",stock_events_raw,Receipts
FBA15LCY2JPY-retry8,2026-01-27T00:00:00+0000,NN-TSZ1-X2RD,NN-TSZ1-X2RD-071025-row917-0120,"6135    3.79
Name: cost_per_unit, dtype: object","6135    GBP
Name: currency, dtype: object",stock_events_raw,Receipts
FBA15LCY2JPY-retry8,2026-01-27T00:00:00+0000,NN-TSZ1-X2RD,NN-TSZ1-X2RD-071025-row917-0123,"6138    3.79
Name: cost_per_unit, dtype: object","6138    GBP
Name: currency, dtype: object",stock_events_raw,Receipts
FBA15LCY2JPY-retry8,2026-01-27T00:00:00+0000,Z7-26PV-O9LR,Z7-26PV-O9LR-150925-row865-0058,"3879    4.44
Name: cost_per_unit, dtype: object","3879    GBP
Name: currency, dtype: object",stock_events_raw,Receipts
