posted_date,transaction_type,amount_type,is_fee,amount,currency,tax_amount,tax_currency,order_id,shipment_id,inbound_shipment_id,fee_reason,fee_description,parsed_fba_shipment_id,shipment_key,amount_num,tax_num,unallocated_reason
,ServiceFee,FBAInboundTransportationFee,True,-12.05,GBP,,,,,,,,,,-12.05,0.0,missing_or_unknown_shipment_id
,ServiceFee,FBAInboundTransportationProgramFee,True,-0.6,GBP,,,,,,,,,,-0.6,0.0,missing_or_unknown_shipment_id
,ServiceFee,FBAInboundTransportationFee,True,-18.5,GBP,,,,,,,,,,-18.5,0.0,missing_or_unknown_shipment_id
,ServiceFee,FBAInboundTransportationProgramFee,True,-0.92,GBP,,,,,,,,,,-0.92,0.0,missing_or_unknown_shipment_id
,ServiceFee,FBAInboundTransportationFee,True,-11.25,GBP,,,,,,,,,,-11.25,0.0,missing_or_unknown_shipment_id
,ServiceFee,FBAInboundTransportationProgramFee,True,-0.57,GBP,,,,,,,,,,-0.57,0.0,missing_or_unknown_shipment_id
,ServiceFee,FBAInboundTransportationFee,True,-5.06,GBP,,,,,,,,,,-5.06,0.0,missing_or_unknown_shipment_id
,ServiceFee,FBAInboundTransportationProgramFee,True,-0.25,GBP,,,,,,,,,,-0.25,0.0,missing_or_unknown_shipment_id
,ServiceFee,FBAInboundTransportationFee,True,-5.05,GBP,,,,,,,,,,-5.05,0.0,missing_or_unknown_shipment_id
,ServiceFee,FBAInboundTransportationFee,True,-17.01,GBP,,,,,,,,,,-17.01,0.0,missing_or_unknown_shipment_id
,ServiceFee,FBAInboundTransportationProgramFee,True,-0.86,GBP,,,,,,,,,,-0.86,0.0,missing_or_unknown_shipment_id
,ServiceFee,FBAInboundTransportationProgramFee,True,-0.56,GBP,,,,,,,,,,-0.56,0.0,missing_or_unknown_shipment_id
,ServiceFee,FBAInboundTransportationFee,True,-10.8,GBP,,,,,,,,,,-10.8,0.0,missing_or_unknown_shipment_id
,ServiceFee,FBAInboundTransportationProgramFee,True,-0.54,GBP,,,,,,,,,,-0.54,0.0,missing_or_unknown_shipment_id
,ServiceFee,FBAInboundTransportationProgramFee,True,-0.26,GBP,,,,,,,,,,-0.26,0.0,missing_or_unknown_shipment_id
,ServiceFee,FBAInboundTransportationFee,True,-5.07,GBP,,,,,,,,,,-5.07,0.0,missing_or_unknown_shipment_id
,ServiceFee,FBAInboundTransportationFee,True,-4.2,GBP,,,,,,,,,,-4.2,0.0,missing_or_unknown_shipment_id
,ServiceFee,FBAInboundTransportationProgramFee,True,-0.22,GBP,,,,,,,,,,-0.22,0.0,missing_or_unknown_shipment_id
,ServiceFee,FBAInboundTransportationFee,True,-3.17,GBP,,,,,,,,,,-3.17,0.0,missing_or_unknown_shipment_id
,ServiceFee,FBAInboundTransportationProgramFee,True,-0.16,GBP,,,,,,,,,,-0.16,0.0,missing_or_unknown_shipment_id
,ServiceFee,FBAInboundTransportationFee,True,-11.34,GBP,,,,,,,,,,-11.34,0.0,missing_or_unknown_shipment_id
,ServiceFee,FBAInboundTransportationFee,True,-12.5,GBP,,,,,,,,,,-12.5,0.0,missing_or_unknown_shipment_id
,ServiceFee,FBAInboundTransportationProgramFee,True,-0.63,GBP,,,,,,,,,,-0.63,0.0,missing_or_unknown_shipment_id
,ServiceFee,FBAInboundTransportationFee,True,-10.9,GBP,,,,,,,,,,-10.9,0.0,missing_or_unknown_shipment_id
