timestamp_utc,asof_date,marketplace,sku,asin,our_price,buy_box_price,buy_box_channel,lowest_fba_price,lowest_fbm_price,offer_count_fba,offer_count_fbm,list_price,list_price_currency,apparent_sale_amount_gbp,apparent_sale_pct,bsr,bsr_category,source,notes
2026-02-07T00:00:00Z,2026-02-07,UK,6V-EEC1-2S9Z,B06WW79DX5,7.99,7.99,FBA,7.99,8.63,2,8,,,,,,,SPAPI,high velocity consistent
2026-02-07T00:00:00Z,2026-02-07,UK,AX-NKNU-29C1,B08M52B4M5,3.99,,,3.99,4.99,1,4,,,,,,,SPAPI,high velocity inconsistent | buy_box_price_missing | buy_box_channel_missing
2026-02-07T00:00:00Z,2026-02-07,UK,JB-RGB6-LZOJ,B0001P0DLU,6.13,4.45,FBM,5.95,4.45,3,14,,,,,,,SPAPI,mid velocity consistent
2026-02-07T00:00:00Z,2026-02-07,UK,VF-3T0K-DR5O,B08KFFY86W,5.35,4.85,FBA,4.85,5.14,18,3,,,,,,,SPAPI,mid velocity inconsistent
2026-02-07T00:00:00Z,2026-02-07,UK,XY-UM2X-TPS3,B003VTZAM0,11.47,9.99,FBM,11.2,9.99,5,5,,,,,,,SPAPI,mid velocity consistent
2026-02-07T00:00:00Z,2026-02-07,UK,4W-VS57-BV6A,B0C9LJNJWZ,35.91,35.0,FBA,23.05,35.0,1,11,,,,,,,SPAPI,low velocity consistent
2026-02-07T00:00:00Z,2026-02-07,UK,TJ-6LOP-OPEU,B08P63MSS9,8.13,,,8.13,8.12,2,3,,,,,,,SPAPI,low velocity consistent | buy_box_price_missing | buy_box_channel_missing
2026-02-07T00:00:00Z,2026-02-07,UK,RZ-6ZL9-CZ7J,B075XT2J8X,6.97,6.35,FBA,6.35,3.27,4,6,,,,,,,SPAPI,low velocity inconsistent
2026-02-07T00:00:00Z,2026-02-07,UK,XH-0LAE-FQO5,B00AOES9GE,6.9,6.75,FBA,6.75,,4,,,,,,,,SPAPI,low velocity inconsistent
2026-02-07T00:00:00Z,2026-02-07,UK,YC-3L3M-BV48,B0CTD6Q6KY,74.26,69.99,FBA,69.99,105.95,3,1,,,,,,,SPAPI,low velocity inconsistent
2026-02-09T00:00:00Z,2026-02-09,UK,6V-EEC1-2S9Z,B06WW79DX5,7.99,7.99,FBA,7.99,8.71,2,8,,,,,,,SPAPI,high velocity consistent
2026-02-09T00:00:00Z,2026-02-09,UK,AX-NKNU-29C1,B08M52B4M5,3.99,,,3.99,4.99,1,4,,,,,,,SPAPI,high velocity inconsistent | buy_box_price_missing | buy_box_channel_missing
2026-02-09T00:00:00Z,2026-02-09,UK,JB-RGB6-LZOJ,B0001P0DLU,6.15,6.15,FBA,6.15,6.35,1,13,,,,,,,SPAPI,mid velocity consistent
2026-02-09T00:00:00Z,2026-02-09,UK,VF-3T0K-DR5O,B08KFFY86W,5.35,4.85,FBA,4.85,5.14,17,3,,,,,,,SPAPI,mid velocity inconsistent
2026-02-09T00:00:00Z,2026-02-09,UK,XY-UM2X-TPS3,B003VTZAM0,11.47,9.99,FBM,11.2,9.99,5,5,,,,,,,SPAPI,mid velocity consistent
2026-02-09T00:00:00Z,2026-02-09,UK,4W-VS57-BV6A,B0C9LJNJWZ,35.91,35.0,FBA,23.05,35.0,1,11,,,,,,,SPAPI,low velocity consistent
2026-02-09T00:00:00Z,2026-02-09,UK,TJ-6LOP-OPEU,B08P63MSS9,8.46,,,8.46,8.45,2,3,,,,,,,SPAPI,low velocity consistent | buy_box_price_missing | buy_box_channel_missing
2026-02-09T00:00:00Z,2026-02-09,UK,RZ-6ZL9-CZ7J,B075XT2J8X,6.97,6.35,FBA,6.35,3.27,4,6,,,,,,,SPAPI,low velocity inconsistent
2026-02-09T00:00:00Z,2026-02-09,UK,XH-0LAE-FQO5,B00AOES9GE,6.9,6.75,FBA,6.75,,4,,,,,,,,SPAPI,low velocity inconsistent
2026-02-09T00:00:00Z,2026-02-09,UK,YC-3L3M-BV48,B0CTD6Q6KY,74.26,74.0,FBA,74.0,105.95,2,1,,,,,,,SPAPI,low velocity inconsistent
2026-02-10T00:00:00Z,2026-02-10,UK,6V-EEC1-2S9Z,B06WW79DX5,7.99,7.99,FBA,7.99,8.56,2,8,,,,,,,SPAPI,high velocity consistent
2026-02-10T00:00:00Z,2026-02-10,UK,AX-NKNU-29C1,B08M52B4M5,3.99,,,3.99,4.99,1,4,,,,,,,SPAPI,high velocity inconsistent | buy_box_price_missing | buy_box_channel_missing
2026-02-10T00:00:00Z,2026-02-10,UK,JB-RGB6-LZOJ,B0001P0DLU,9.99,,,9.99,6.35,1,13,,,,,,,SPAPI,mid velocity consistent | buy_box_price_missing | buy_box_channel_missing
2026-02-10T00:00:00Z,2026-02-10,UK,VF-3T0K-DR5O,B08KFFY86W,5.35,4.85,FBA,4.85,5.14,17,4,,,,,,,SPAPI,mid velocity inconsistent
2026-02-10T00:00:00Z,2026-02-10,UK,XY-UM2X-TPS3,B003VTZAM0,11.47,9.99,FBM,11.2,9.99,5,5,,,,,,,SPAPI,mid velocity consistent
2026-02-10T00:00:00Z,2026-02-10,UK,4W-VS57-BV6A,B0C9LJNJWZ,35.91,35.0,FBA,22.7,35.0,1,10,,,,,,,SPAPI,low velocity consistent
2026-02-10T00:00:00Z,2026-02-10,UK,TJ-6LOP-OPEU,B08P63MSS9,8.63,,,8.63,8.62,2,3,,,,,,,SPAPI,low velocity consistent | buy_box_price_missing | buy_box_channel_missing
2026-02-10T00:00:00Z,2026-02-10,UK,RZ-6ZL9-CZ7J,B075XT2J8X,6.97,6.35,FBA,6.35,7.369999999999999,4,6,,,,,,,SPAPI,low velocity inconsistent
2026-02-10T00:00:00Z,2026-02-10,UK,XH-0LAE-FQO5,B00AOES9GE,6.9,6.7,FBA,6.7,,4,,,,,,,,SPAPI,low velocity inconsistent
2026-02-10T00:00:00Z,2026-02-10,UK,YC-3L3M-BV48,B0CTD6Q6KY,74.26,74.0,FBA,74.0,105.95,2,1,,,,,,,SPAPI,low velocity inconsistent
2026-02-11T00:00:00Z,2026-02-11,UK,6V-EEC1-2S9Z,B06WW79DX5,7.93,7.93,FBA,7.93,8.41,2,8,,,,,,,SPAPI,high velocity consistent
