run_id,started_utc,finished_utc,status,calls_products_pricing_get_price,calls_listings_items_get_item,calls_finances_get_financial_events,notes
api_20260206T161705Z_56192e65,2026-02-06T16:17:05.142314+00:00,2026-02-06T16:17:05.143312+00:00,SKIPPED_LOCK_BUSY,0,0,,lock busy
api_20260206T161454Z_96faa7d9,2026-02-06T16:14:54.329891+00:00,2026-02-06T16:19:54.378679+00:00,OK,1,10,,
api_20260206T163253Z_e84e4f6e,2026-02-06T16:32:53.026120+00:00,2026-02-06T16:33:19.778446+00:00,OK,1,10,,
api_20260206T163346Z_c9bb3324,2026-02-06T16:33:46.366673+00:00,2026-02-06T16:34:10.677717+00:00,OK,1,10,,
api_20260207T071022Z_3f846ac3,2026-02-07T07:10:22.538071+00:00,2026-02-07T07:15:17.295383+00:00,OK,1,10,,
api_20260207T105644Z_2936ba58,2026-02-07T10:56:44.604122+00:00,2026-02-07T10:56:44.605120+00:00,SKIPPED_LOCK_BUSY,0,0,,lock busy
api_20260207T110056Z_0fb538b4,2026-02-07T11:00:56.487161+00:00,2026-02-07T11:00:56.488164+00:00,SKIPPED_LOCK_BUSY,0,0,,lock busy
api_20260207T105644Z_e640eea5,2026-02-07T10:56:44.589121+00:00,2026-02-07T11:01:39.010089+00:00,OK,1,10,,
api_20260207T110144Z_5c795442,2026-02-07T11:01:44.488224+00:00,2026-02-07T11:06:43.192755+00:00,OK,1,10,,
api_20260207T110817Z_fca6bb0f,2026-02-07T11:08:17.958938+00:00,2026-02-07T11:18:04.533345+00:00,OK,10,10,,
api_20260207T114329Z_6684bf10,2026-02-07T11:43:29.593570+00:00,2026-02-07T11:43:29.594569+00:00,SKIPPED_LOCK_BUSY,0,0,,lock busy
api_20260207T114348Z_4d6db74e,2026-02-07T11:43:48.669127+00:00,2026-02-07T11:43:48.670131+00:00,SKIPPED_LOCK_BUSY,0,0,,lock busy
api_20260207T114329Z_1759605f,2026-02-07T11:43:29.593570+00:00,2026-02-07T11:43:50.502000+00:00,OK,0,9,,datasets=inventory_inbound
api_20260207T114404Z_823ae495,2026-02-07T11:44:04.364299+00:00,2026-02-07T11:44:34.407701+00:00,OK,0,9,,datasets=inventory_inbound
api_20260207T114439Z_e6fbe7ef,2026-02-07T11:44:39.005284+00:00,2026-02-07T11:44:59.591102+00:00,OK,0,9,,datasets=inventory_inbound
api_20260207T114510Z_573f250e,2026-02-07T11:45:10.505017+00:00,2026-02-07T11:45:31.164281+00:00,OK,0,9,,datasets=inventory_inbound
api_20260207T114556Z_2f1d49d5,2026-02-07T11:45:56.693276+00:00,2026-02-07T11:45:56.694277+00:00,SKIPPED_LOCK_BUSY,0,0,,lock busy
